text,label
"TAX INVOICE

Invoice Number: INV-1889
Invoice Date: 2026-09-23
Bill To: Stark Industries
Amount Due: $250.5
Terms: Net 30
Please remit to our bank account. Remittance address below.",invoice
"TAX INVOICE

Invoice Number: INV-6038
Invoice Date: 2026-09-23
Bill To: Initech
Amount Due: $100.0
Terms: Net 30
Please remit to our bank account. Remittance address below.",invoice
"PURCHASE ORDER

PO Number: PO-78500
PO Date: 2026-09-22
Vendor: Initech
Ship To: HQ Warehouse
Deliver To: Receiving Dock 4
Authorized By: Procurement Dept
Description: Laptops
Total: $4621
",po
"PRICE QUOTE / ESTIMATE

Quote Number: QT-273
Date: 2026-09-20
Prepared For: Umbrella Corp
Valid Until: 2026-10-20
Proposal for Security Audit.
Estimated Cost: $8345
This quotation is subject to our standard terms.",quote
"PRICE QUOTE / ESTIMATE

Quote Number: QT-684
Date: 2026-09-20
Prepared For: Initech
Valid Until: 2026-10-20
Proposal for Consulting Hours.
Estimated Cost: $5717
This quotation is subject to our standard terms.",quote
"TAX INVOICE

Invoice Number: INV-9265
Invoice Date: 2026-09-23
Bill To: Acme Corp
Amount Due: $5000.0
Terms: Due on Receipt
Please remit to our bank account. Remittance address below.",invoice
"TAX INVOICE

Invoice Number: INV-1174
Invoice Date: 2026-09-23
Bill To: Stark Industries
Amount Due: $123.45
Terms: Net 60
Please remit to our bank account. Remittance address below.",invoice
"TAX INVOICE

Invoice Number: INV-2313
Invoice Date: 2026-09-23
Bill To: Globex
Amount Due: $100.0
Terms: Net 60
Please remit to our bank account. Remittance address below.",invoice
"PRICE QUOTE / ESTIMATE

Quote Number: QT-721
Date: 2026-09-20
Prepared For: Umbrella Corp
Valid Until: 2026-10-20
Proposal for Software License.
Estimated Cost: $6046
This quotation is subject to our standard terms.",quote
"PRICE QUOTE / ESTIMATE

Quote Number: QT-413
Date: 2026-09-20
Prepared For: Globex
Valid Until: 2026-10-20
Proposal for Cloud Storage.
Estimated Cost: $2091
This quotation is subject to our standard terms.",quote
"PRICE QUOTE / ESTIMATE

Quote Number: QT-535
Date: 2026-09-20
Prepared For: Acme Corp
Valid Until: 2026-10-20
Proposal for Software License.
Estimated Cost: $2893
This quotation is subject to our standard terms.",quote
"PRICE QUOTE / ESTIMATE

Quote Number: QT-432
Date: 2026-09-20
Prepared For: Acme Corp
Valid Until: 2026-10-20
Proposal for Cloud Storage.
Estimated Cost: $6652
This quotation is subject to our standard terms.",quote
"PURCHASE ORDER

PO Number: PO-70373
PO Date: 2026-09-22
Vendor: Wayne Enterprises
Ship To: HQ Warehouse
Deliver To: Receiving Dock 4
Authorized By: Procurement Dept
Description: Server Racks
Total: $319
",po
"PURCHASE ORDER

PO Number: PO-65288
PO Date: 2026-09-22
Vendor: Stark Industries
Ship To: HQ Warehouse
Deliver To: Receiving Dock 4
Authorized By: Procurement Dept
Description: Server Racks
Total: $4475
",po
"PURCHASE ORDER

PO Number: PO-16633
PO Date: 2026-09-22
Vendor: Stark Industries
Ship To: HQ Warehouse
Deliver To: Receiving Dock 4
Authorized By: Procurement Dept
Description: Laptops
Total: $4874
",po
"PRICE QUOTE / ESTIMATE

Quote Number: QT-492
Date: 2026-09-20
Prepared For: Acme Corp
Valid Until: 2026-10-20
Proposal for Maintenance.
Estimated Cost: $9853
This quotation is subject to our standard terms.",quote
"TAX INVOICE

Invoice Number: INV-1836
Invoice Date: 2026-09-23
Bill To: Umbrella Corp
Amount Due: $250.5
Terms: Net 15
Please remit to our bank account. Remittance address below.",invoice
"TAX INVOICE

Invoice Number: INV-8865
Invoice Date: 2026-09-23
Bill To: Stark Industries
Amount Due: $100.0
Terms: Net 60
Please remit to our bank account. Remittance address below.",invoice
