vendor_tenure_months,on_time_delivery_rate,financial_stability_score,breach_disclosure_count,security_cert_flag,geo_risk_flag,incident_occurred
11,0.8155537259200349,0.6783132009630236,0,1,0,0
93,0.7846505965519973,0.6217541673392889,0,1,0,0
78,0.7201574576988349,0.5219342143887968,2,1,0,0
53,0.5481822828354072,0.8649454454147616,0,1,1,0
52,0.7068729072533426,0.8915239674606171,0,0,0,0
103,0.666538630718304,0.701314370796064,0,1,1,0
11,0.7919584488770532,0.7553040462214538,1,1,0,0
83,0.7734266558186932,0.6283834991877917,0,0,0,1
24,0.9466593273251506,0.7307306294804438,1,0,0,1
12,0.574640756460759,0.5847609820473074,1,0,1,0
63,0.965306683368787,0.6819660198850745,0,1,0,0
117,0.3510653171188075,0.5259726209963657,0,0,0,1
88,0.9337216426157259,0.7997500528638517,0,1,0,0
91,0.9528190224923443,0.404068627398881,1,0,0,0
86,0.927401323246148,0.5693302081851883,0,1,0,0
94,0.8879905888186793,0.41131509599919747,1,1,0,0
62,0.8185511517990869,0.6415345814039484,1,0,1,0
16,0.7205843560096875,0.7119725162083457,1,1,0,0
100,0.7854230264912198,0.6720425284185144,0,1,1,0
54,0.8658244620485372,0.7550859158690861,0,0,0,1
60,0.5398827789233172,0.20140299366091194,0,1,1,1
45,0.6657470704648363,0.25508637867224804,0,0,0,1
22,0.7918223794305919,0.6099644646774111,0,0,0,1
111,0.9310984336489261,0.5830640291147907,0,1,0,0
94,0.8274795654301912,0.8713779542439251,1,0,1,1
77,0.5374040852531328,0.5030512860362665,0,1,1,1
48,0.7112892974002993,0.35934333002895136,1,0,0,0
98,0.32526545840750093,0.7875445842835439,3,1,0,0
65,0.8339956017482849,0.5918405672838474,0,1,1,0
53,0.6591353364889875,0.9760169914844343,0,1,0,1
54,0.6379162781286355,0.887675334650765,0,0,0,0
28,0.8178372020196728,0.593566030209523,1,0,0,0
11,0.742906014384772,0.6565249262052268,1,0,0,0
66,0.6729579763199586,0.7574521811980854,0,0,1,0
106,0.827550555408134,0.5635928071162953,0,0,1,0
8,0.6319495302193504,0.6231428852633215,0,0,0,0
103,0.8693966345192133,0.9145037469523443,0,0,1,0
99,0.7138386480589645,0.5492025357075899,0,0,0,0
33,0.7396956988226995,0.7721038098433224,1,0,0,0
76,0.4439652603791417,0.719982106590572,0,0,0,1
20,0.7675098228946702,0.5807877287656824,0,0,0,0
91,0.7977579619968699,0.5976380106404249,0,1,0,0
84,0.8102682423912239,0.6965505110425857,0,0,0,0
43,0.9120106756500549,0.7505100146654357,0,1,0,0
9,0.9245073068367803,0.6940955010658244,1,0,0,0
116,0.6624016289939186,0.5922557595665666,0,0,0,0
54,0.5364832182507357,0.6098632130513295,0,0,0,0
107,0.6486857549147745,0.7177452051310287,0,0,1,0
81,0.9478418254069355,0.3860936795916789,1,0,0,0
93,0.6199445505288973,0.6781255509457245,1,1,0,0
91,0.7130520860068484,0.3539300734072857,0,0,0,1
24,0.7519057812514539,0.5209796511084392,0,0,1,0
44,0.6820988875667697,0.8594142320975249,0,1,0,0
56,0.7802223012030867,0.476905537648951,1,1,0,1
60,0.9413768509312692,0.6127520157458995,1,1,0,0
6,0.3789718264201003,0.48968126345318336,0,0,0,0
66,0.6038295230912768,0.5529729721417158,0,0,1,0
19,0.7228652720427562,0.8868465626297809,0,0,0,0
89,0.8534687516947503,0.6566115044835032,0,0,0,0
82,0.5645733350786497,0.48741965680741267,1,0,0,0
110,0.8201136233509372,0.6928634106078589,1,0,0,0
89,0.6279947391138789,0.7955651709392233,0,0,0,0
44,0.8243075195534834,0.4426378126374733,0,0,0,0
116,0.7058259456539144,0.7009395695071806,0,1,1,0
49,0.5856618427860819,0.8351655004764522,1,0,0,1
39,0.8534854088956355,0.6717630977496967,2,0,1,0
108,0.869335994535712,0.41071577274828297,0,0,0,0
